Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,9,1,157,30,49,.612,0,0,,30,49,.612,.612,15,26,.577,18,30,48,9,2,4,14,25,75
2,Jaylen Adams\adamsja01,PG,24,MIL,1,0,1,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
3,Steven Adams\adamsst01,C,27,NOP,10,10,309,46,67,.687,0,0,,46,67,.687,.687,13,29,.448,32,54,86,28,14,9,20,21,105
4,Bam Adebayo\adebaba01,C,23,MIA,8,8,243,52,81,.642,0,0,,52,81,.642,.642,35,44,.795,9,63,72,40,8,8,27,21,139
5,LaMarcus Aldridge\aldrila01,C,35,SAS,8,8,235,52,120,.433,10,34,.294,42,86,.488,.475,7,9,.778,9,37,46,22,5,7,10,18,121
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,3,0,8,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,1,1,1,0,0,0,1,0
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,8,1,137,36,77,.468,12,33,.364,24,44,.545,.545,8,8,1.000,2,18,20,11,7,1,10,15,92
8,Grayson Allen\allengr01,SG,25,MEM,10,4,206,20,55,.364,13,40,.325,7,15,.467,.482,15,16,.938,6,16,22,17,11,3,9,8,68
9,Jarrett Allen\allenja01,C,22,BRK,12,5,320,44,65,.677,0,0,,44,65,.677,.677,46,61,.754,38,87,125,20,7,19,22,21,134
10,Kyle Anderson\anderky01,PF,27,MEM,11,11,328,51,126,.405,16,48,.333,35,78,.449,.468,24,30,.800,10,70,80,46,4,7,21,20,142
11,Giannis Antetokounmpo\antetgi01,PF,26,MIL,11,11,343,102,196,.520,16,54,.296,86,142,.606,.561,68,110,.618,18,93,111,61,14,13,39,37,288
12,Kostas Antetokounmpo\antetko01,PF,23,LAL,1,0,8,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,4,4,0,0,2,2,1,0
13,Thanasis Antetokounmpo\antetth01,SF,28,MIL,11,0,119,12,19,.632,1,5,.200,11,14,.786,.658,2,2,1.000,12,12,24,12,3,1,12,19,27
14,Carmelo Anthony\anthoca01,PF,36,POR,10,0,247,37,91,.407,18,41,.439,19,50,.380,.505,31,35,.886,3,31,34,12,8,5,8,23,123
15,Cole Anthony\anthoco01,PG,20,ORL,11,3,256,35,111,.315,6,33,.182,29,78,.372,.342,28,31,.903,11,35,46,34,6,2,17,19,104
16,OG Anunoby\anunoog01,SF,23,TOR,10,10,349,43,95,.453,18,57,.316,25,38,.658,.547,22,31,.710,12,42,54,17,18,6,16,31,126
17,Ryan Arcidiacono\arcidry01,PG,26,CHI,2,0,28,3,9,.333,1,5,.200,2,4,.500,.389,3,3,1.000,0,6,6,4,2,0,0,2,10
18,D.J. Augustin\augusdj01,PG,33,MIL,11,0,201,20,56,.357,15,38,.395,5,18,.278,.491,11,11,1.000,6,8,14,33,5,0,13,6,66
19,Deni Avdija\avdijde01,SF,20,WAS,11,11,255,28,62,.452,16,35,.457,12,27,.444,.581,5,8,.625,4,40,44,24,11,3,7,29,77
20,Deandre Ayton\aytonde01,C,22,PHO,11,11,332,60,106,.566,1,4,.250,59,102,.578,.571,16,25,.640,32,92,124,20,4,11,20,37,137
21,Udoka Azubuike\azubuud01,C,21,UTA,5,0,24,3,4,.750,0,0,,3,4,.750,.750,2,4,.500,1,4,5,0,1,1,0,2,8
22,Dwayne Bacon\bacondw01,SG,25,ORL,11,11,278,43,97,.443,7,23,.304,36,74,.486,.479,9,13,.692,3,30,33,10,4,2,9,18,102
23,Marvin Bagley III\baglema01,PF,21,SAC,12,12,299,56,130,.431,10,29,.345,46,101,.455,.469,24,41,.585,26,68,94,11,4,7,22,32,146
24,LaMelo Ball\ballla01,PG,19,CHO,12,0,304,52,129,.403,18,55,.327,34,74,.459,.473,18,26,.692,21,63,84,71,18,4,24,32,140
25,Lonzo Ball\balllo01,PG,23,NOP,9,9,301,43,109,.394,20,65,.308,23,44,.523,.486,6,10,.600,4,35,39,40,10,6,26,26,112
26,Mo Bamba\bambamo01,C,22,ORL,4,0,33,8,18,.444,2,7,.286,6,11,.545,.500,2,3,.667,5,9,14,2,0,2,2,10,20
27,Desmond Bane\banede01,SG,22,MEM,11,0,245,33,73,.452,19,41,.463,14,32,.438,.582,7,9,.778,5,28,33,11,8,0,12,22,92
28,Harrison Barnes\barneha02,PF,28,SAC,12,12,417,72,139,.518,17,41,.415,55,98,.561,.579,47,59,.797,12,70,82,37,9,3,19,11,208
29,RJ Barrett\barrerj01,SG,20,NYK,12,12,455,73,196,.372,10,54,.185,63,142,.444,.398,40,57,.702,18,71,89,41,10,2,18,26,196
30,Will Barton\bartowi01,SF,30,DEN,11,7,318,49,116,.422,16,42,.381,33,74,.446,.491,14,21,.667,7,40,47,31,13,7,11,17,128
31,Keita Bates-Diop\bateske01,SF,25,SAS,2,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
32,Nicolas Batum\batumni01,SF,32,LAC,12,12,349,41,82,.500,23,53,.434,18,29,.621,.640,17,19,.895,14,50,64,36,14,3,8,31,122
33,Aron Baynes\baynear01,C,34,TOR,7,7,135,17,45,.378,3,16,.188,14,29,.483,.411,0,0,,11,29,40,4,1,0,6,17,37
34,Kent Bazemore\bazemke01,SF,31,GSW,9,0,148,18,36,.500,7,15,.467,11,21,.524,.597,3,5,.600,3,22,25,19,6,5,9,16,46
35,Darius Bazley\bazleda01,PF,20,OKC,11,11,328,44,114,.386,14,53,.264,30,61,.492,.447,14,16,.875,9,77,86,16,5,12,19,14,116
36,Bradley Beal\bealbr01,SG,27,WAS,10,10,359,121,245,.494,24,64,.375,97,181,.536,.543,83,95,.874,15,38,53,50,14,7,33,25,349
37,Malik Beasley\beaslma01,SG,24,MIN,11,11,357,82,179,.458,29,75,.387,53,104,.510,.539,29,33,.879,8,44,52,22,6,3,13,14,222
38,DeAndre' Bembry\bembrde01,SF,26,TOR,5,0,18,2,4,.500,0,0,,2,4,.500,.500,0,0,,0,3,3,2,1,1,4,2,4
39,Dāvis Bertāns\bertada01,PF,28,WAS,11,0,264,38,102,.373,31,86,.360,7,16,.438,.525,23,28,.821,6,28,34,15,6,3,6,23,130
40,Patrick Beverley\beverpa01,PG,32,LAC,12,12,317,35,83,.422,24,55,.436,11,28,.393,.566,10,13,.769,17,34,51,23,10,10,11,45,104
41,Saddiq Bey\beysa01,SF,21,DET,10,3,230,32,86,.372,25,58,.431,7,28,.250,.517,16,21,.762,5,39,44,8,5,0,7,17,105
42,Tyler Bey\beyty01,SF,22,DAL,1,0,1,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
