Name	Projection	Average	      Percent
Anthony Davis LAL - PF,C  GTD7:00 pm vs SA	$67	$73.50	100%
Player NoteJames Harden Hou - PG,SG	$68	$73.10	100%
New Player NoteStephen Curry GS - PG,SG  GTD	$67	$70.90	100%
Player NoteNikola Jokic Den - PF,C  7:00 pm vs Dal	$67	$70.60	100%
New Player NoteGiannis Antetokounmpo Mil - PF,C	$58	$68.20	100%
Player NoteLuka Doncic Dal - PG,SG  7:00 pm @Den	$47	$67.50	100%
Player NoteKarl-Anthony Towns Min - C  INJ7:00 pm @Por	$60	$65.50	100%
Player NoteDamian Lillard Por - PG  7:00 pm vs Min	$61	$64.90	100%
New Player NoteTrae Young Atl - PG	$54	$57.40	100%
Player NoteJayson Tatum Bos - SF,PF	$53	$55.00	100%
New Player NoteLeBron James LAL - PG,SG,SF  GTD7:00 pm vs SA	$47	$52.70	100%
Player NoteKevin Durant Bkn - SF,PF  INJ4:30 pm vs Phi	$45	$51.50	100%
New Player NoteKawhi Leonard LAC - SG,SF	$47	$49.50	100%
New Player NoteBradley Beal Was - SG,SF	$49	$47.50	100%
Player NoteDevin Booker Pho - SG,SF	$36	$43.70	100%
New Player NoteJoel Embiid Phi - PF,C  4:30 pm @Bkn	$40	$43.70	100%
New Player NotePaul George LAC - SF,PF	$41	$41.60	100%
Player NoteJohn Collins Atl - PF,C	$46	$41.60	100%
New Player NoteJimmy Butler Mia - SF,PF	$40	$39.60	100%
New Player NoteRussell Westbrook Was - PG  GTD	$37	$38.50	100%
New Player NoteBam Adebayo Mia - PF,C	$34	$38.30	100%
Player NoteDeandre Ayton Pho - C	$37	$37.80	100%
New Player NoteZion Williamson NO - PF	$34	$35.40	100%
New Player NoteBen Simmons Phi - PG  4:30 pm @Bkn	$29	$32.20	100%
Player NoteKyrie Irving Bkn - PG  4:30 pm vs Phi	$28	$32.00	100%
Player NoteDonovan Mitchell Uta - PG,SG	$27	$31.30	100%
Player NoteRudy Gobert Uta - C	$27	$30.40	100%
New Player NoteShai Gilgeous-Alexander OKC - SG,SF	$25	$30.20	100%
Player NoteJa Morant Mem - PG  INJ5:00 pm vs Cle	$25	$29.60	100%
Player NoteNikola Vucevic Orl - C	$23	$27.40	100%
New Player NoteJrue Holiday Mil - PG,SG	$32	$26.90	100%
New Player NotePascal Siakam Tor - PF,C	$24	$26.70	100%
Player NoteAndre Drummond Cle - C  5:00 pm @Mem	$21	$25.20	100%
New Player NoteChris Paul Pho - PG	$25	$24.00	100%
New Player NoteZach LaVine Chi - SG,SF	$16	$22.40	100%
No new player NotesKemba Walker Bos - PG  INJ	$32	$22.40	100%
Player NoteKhris Middleton Mil - SF,PF	$20	$21.90	100%
Player NoteJamal Murray Den - PG,SG  7:00 pm vs Dal	$12	$20.50	100%
New Player NoteDe'Aaron Fox Sac - PG  GTD	$19	$20.50	100%
Player NoteDomantas Sabonis Ind - PF,C	$12	$20.00	100%
Player NoteBrandon Ingram NO - SF,PF	$12	$19.80	100%
Player NoteKristaps Porzingis Dal - PF,C  INJ7:00 pm @Den	$22	$19.30	100%
New Player NoteChristian Wood Hou - PF,C  GTD	$13	$19.10	100%
Player NoteJusuf Nurkic Por - C  7:00 pm vs Min	$4	$19.00	100%
New Player NoteKyle Lowry Tor - PG	$21	$18.80	100%
New Player NoteJohn Wall Hou - PG	$20	$17.20	100%
Player NoteFred VanVleet Tor - PG,SG	$11	$17.00	100%
Player NoteD'Angelo Russell Min - PG,SG  7:00 pm @Por	$16	$16.90	100%
No new player NotesTrevor Ariza OKC - SG,SF  INJ	$0	$16.90	2%
Player NoteLaMarcus Aldridge SA - PF,C  7:00 pm @LAL	$18	$15.80	100%
Robert Covington Por - PF,C  7:00 pm vs Min	$19	$15.60	100%
Player NoteCJ McCollum Por - PG,SG  7:00 pm vs Min	$13	$15.00	100%
No new player NotesJaren Jackson Jr. Mem - PF,C  INJ5:00 pm vs Cle	$21	$15.00	100%
Player NoteDeMar DeRozan SA - SG,SF  7:00 pm @LAL	$13	$14.90	100%
Player NoteBuddy Hield Sac - SG	$17	$14.20	100%
No new player NotesKlay Thompson GS - SG,SF  INJ	$19	$14.00	61%
New Player NoteMitchell Robinson NY - C	$15	$13.80	100%
New Player NoteMyles Turner Ind - PF,C	$12	$13.20	100%
New Player NoteJaylen Brown Bos - SG,SF	$7	$13.10	100%
Player NoteLonzo Ball NO - PG,SG	$16	$12.40	100%
Player NoteTobias Harris Phi - SF,PF  4:30 pm @Bkn	$10	$12.30	100%
New Player NoteGordon Hayward Cha - SG,SF	$9	$12.10	100%
Player NoteJonas Valanciunas Mem - C  5:00 pm vs Cle	$9	$12.00	100%
New Player NoteClint Capela Atl - C	$13	$11.80	100%
New Player NoteHassan Whiteside Sac - PF,C	$10	$11.30	100%
New Player NoteDraymond Green GS - PF,C	$14	$11.10	100%
New Player NoteMichael Porter Jr. Den - SF,PF  INJ7:00 pm vs Dal	$4	$10.80	100%
New Player NoteMalcolm Brogdon Ind - PG,SG	$9	$10.50	100%
New Player NoteKelly Oubre Jr. GS - SF,PF	$10	$10.00	100%
Player NoteDejounte Murray SA - PG,SG  7:00 pm @LAL	$8	$9.70	100%
Player NoteDanilo Gallinari Atl - SF,PF  INJ	$17	$8.80	100%
Player NoteLauri Markkanen Chi - PF,C  INJ	$10	$8.60	100%
Player NoteT.J. Warren Ind - SF,PF  INJ	$10	$8.50	100%
New Player NoteVictor Oladipo Ind - SG,SF	$10	$8.20	100%
New Player NoteDanny Green Phi - SG,SF  4:30 pm @Bkn	$0	$8.10	6%
Player NoteThomas Bryant Was - C	$7	$7.10	100%
New Player NoteTyler Herro Mia - PG,SG,SF	$5	$6.70	100%
Player NotePatrick Beverley LAC - PG,SG	$0	$6.70	4%
New Player NoteBlake Griffin Det - PF,C	$9	$6.60	100%
Player NoteEric Bledsoe NO - PG,SG	$11	$6.50	100%
Player NoteAndrew Wiggins GS - SG,SF	$7	$6.50	100%
New Player NoteJulius Randle NY - PF,C	$6	$6.50	100%
New Player NoteBrook Lopez Mil - C	$7	$6.40	100%
New Player NoteMarcus Smart Bos - PG,SG	$7	$6.30	100%
Player NoteKevin Love Cle - PF,C  INJ5:00 pm @Mem	$8	$6.20	100%
Player NoteOG Anunoby Tor - SF,PF	$2	$5.90	100%
Player NoteAaron Gordon Orl - SF,PF	$8	$5.70	100%
New Player NoteSteven Adams NO - C	$9	$5.60	100%
New Player NoteMike Conley Uta - PG	$12	$5.60	100%
New Player NoteDevonte' Graham Cha - PG,SG	$7	$5.60	100%
New Player NoteMikal Bridges Pho - SG,SF	$6	$5.40	100%
Player NoteKeldon Johnson SA - SF  7:00 pm @LAL	$0	$5.40	5%
No new player NotesLiAngelo Ball Det - PG,SG  NA	$0	$5.30	6%
New Player NoteCoby White Chi - PG,SG	$2	$5.20	100%
New Player NoteWendell Carter Jr. Chi - C	$8	$5.00	100%
Player NoteMontrezl Harrell LAL - PF,C  7:00 pm vs SA	$8	$4.90	100%
Player NoteAl Horford OKC - PF,C	$6	$4.80	100%
New Player NoteCollin Sexton Cle - PG,SG  GTD5:00 pm @Mem	$1	$4.40	100%
New Player NoteRichaun Holmes Sac - PF,C  GTD	$10	$4.40	100%
New Player NoteDavis Bertans Was - PF,C	$3	$4.20	100%
